time,open,high,low,close,tick_volume,spread,real_volume
2024-03-01 16:35:00,495.39,496.15,495.33,495.62,48,12,0
2024-03-01 16:36:00,495.33,495.6,494.8,495.43,44,12,0
2024-03-01 16:37:00,495.7,495.7,494.9,495.22,44,16,0
2024-03-01 16:38:00,495.16,496.89,494.97,496.59,52,10,0
2024-03-01 16:39:00,496.64,497.74,496.39,497.16,64,13,0
2024-03-01 16:40:00,497.3,498.04,497.27,497.95,68,11,0
2024-03-01 16:41:00,497.95,499.05,497.13,498.52,61,10,0
2024-03-01 16:42:00,498.45,499.15,498.27,498.93,58,8,0
2024-03-01 16:43:00,498.94,499.04,498.05,498.33,45,10,0
2024-03-01 16:44:00,498.41,498.71,497.95,498.71,36,10,0
2024-03-01 16:45:00,498.45,498.56,497.96,497.96,44,12,0
2024-03-01 16:46:00,498.0,498.19,497.89,498.06,41,9,0
2024-03-01 16:47:00,498.1,498.4,497.84,498.03,31,9,0
2024-03-01 16:48:00,497.9,498.54,497.42,498.54,41,11,0
2024-03-01 16:49:00,498.46,499.69,498.46,499.55,48,4,0
2024-03-01 16:50:00,499.56,499.84,499.36,499.37,40,8,0
2024-03-01 16:51:00,499.42,500.62,499.05,500.52,74,6,0
2024-03-01 16:52:00,500.5,500.52,499.39,499.54,59,10,0
2024-03-01 16:53:00,499.53,499.71,498.48,499.16,50,9,0
2024-03-01 16:54:00,499.16,499.3,498.56,498.99,45,12,0
2024-03-01 16:55:00,498.96,498.96,498.03,498.03,42,8,0
2024-03-01 16:56:00,498.04,498.8,498.04,498.29,39,12,0
2024-03-01 16:57:00,498.29,498.68,498.06,498.43,20,13,0
2024-03-01 16:58:00,498.51,498.6,498.42,498.51,32,9,0
2024-03-01 16:59:00,498.49,499.26,498.49,499.18,39,8,0
2024-03-01 17:00:00,499.18,499.98,498.05,499.3,55,14,0
2024-03-01 17:01:00,499.3,499.86,499.05,499.73,49,9,0
2024-03-01 17:02:00,499.71,499.94,499.1,499.67,52,10,0
2024-03-01 17:03:00,499.86,500.48,499.8,499.89,42,8,0
2024-03-01 17:04:00,499.69,500.0,498.96,499.29,41,9,0
2024-03-01 17:05:00,499.4,499.95,499.29,499.67,43,8,0
2024-03-01 17:06:00,499.54,499.63,499.11,499.35,43,11,0
2024-03-01 17:07:00,499.37,499.65,499.37,499.57,38,6,0
2024-03-01 17:08:00,499.7,500.06,499.53,500.06,34,7,0
2024-03-01 17:09:00,500.07,500.85,500.07,500.85,41,6,0
2024-03-01 17:10:00,500.85,501.35,500.81,501.35,30,3,0
2024-03-01 17:11:00,501.43,501.48,500.89,501.07,35,4,0
2024-03-01 17:12:00,501.07,501.2,500.84,500.96,36,6,0
2024-03-01 17:13:00,500.95,501.53,500.84,501.53,36,13,0
2024-03-01 17:14:00,501.42,501.75,500.98,501.18,35,8,0
2024-03-01 17:15:00,501.17,501.17,499.75,499.75,36,9,0
2024-03-01 17:16:00,499.64,500.79,499.55,500.61,38,9,0
2024-03-01 17:17:00,500.82,500.82,499.96,500.19,43,11,0
2024-03-01 17:18:00,500.23,500.3,499.83,499.95,40,8,0
2024-03-01 17:19:00,499.95,500.27,499.84,500.09,33,9,0
2024-03-01 17:20:00,500.08,500.34,499.95,500.19,24,8,0
2024-03-01 17:21:00,500.18,500.54,500.18,500.47,26,10,0
2024-03-01 17:22:00,500.46,500.48,499.85,500.2,35,8,0
2024-03-01 17:23:00,500.24,500.25,499.82,499.92,36,8,0
2024-03-01 17:24:00,499.92,499.92,498.99,499.4,33,10,0
2024-03-01 17:25:00,499.4,500.3,499.38,500.3,34,12,0
2024-03-01 17:26:00,500.16,500.35,499.7,499.79,22,7,0
2024-03-01 17:27:00,499.79,499.81,499.16,499.4,33,12,0
2024-03-01 17:28:00,499.4,499.77,499.21,499.77,43,8,0
2024-03-01 17:29:00,499.79,499.79,499.08,499.1,40,11,0
2024-03-01 17:30:00,499.1,499.32,498.33,498.38,43,10,0
2024-03-01 17:31:00,498.39,498.43,498.03,498.37,46,9,0
2024-03-01 17:32:00,498.58,498.71,498.1,498.33,36,11,0
2024-03-01 17:33:00,498.33,498.59,498.19,498.36,33,9,0
2024-03-01 17:34:00,498.38,498.62,498.06,498.31,35,9,0
2024-03-01 17:35:00,498.31,498.48,498.12,498.39,38,13,0
2024-03-01 17:36:00,498.37,498.47,498.23,498.32,25,8,0
2024-03-01 17:37:00,498.32,498.42,498.04,498.42,36,4,0
2024-03-01 17:38:00,498.42,498.62,498.41,498.51,24,8,0
2024-03-01 17:39:00,498.51,498.58,498.23,498.23,22,7,0
2024-03-01 17:40:00,498.23,498.23,497.75,497.85,36,4,0
2024-03-01 17:41:00,497.85,497.87,497.66,497.82,18,10,0
2024-03-01 17:42:00,497.84,498.44,497.81,498.38,33,7,0
2024-03-01 17:43:00,498.38,498.86,498.37,498.52,28,8,0
2024-03-01 17:44:00,498.52,498.74,498.36,498.36,15,7,0
2024-03-01 17:45:00,498.44,498.58,498.36,498.58,20,6,0
2024-03-01 17:46:00,498.58,499.1,498.54,498.99,26,9,0
2024-03-01 17:47:00,498.99,499.01,498.78,498.87,18,9,0
2024-03-01 17:48:00,498.87,498.89,498.47,498.49,25,9,0
2024-03-01 17:49:00,498.49,498.82,498.48,498.61,17,9,0
2024-03-01 17:50:00,498.61,498.7,498.27,498.36,26,10,0
2024-03-01 17:51:00,498.39,498.42,498.21,498.27,19,6,0
2024-03-01 17:52:00,498.37,498.71,498.21,498.71,26,10,0
2024-03-01 17:53:00,498.71,498.71,498.43,498.43,20,7,0
2024-03-01 17:54:00,498.46,498.69,498.45,498.54,15,8,0
2024-03-01 17:55:00,498.54,498.54,498.09,498.39,21,9,0
2024-03-01 17:56:00,498.4,499.04,498.35,498.35,29,8,0
2024-03-01 17:57:00,498.22,498.44,498.11,498.11,19,7,0
2024-03-01 17:58:00,498.14,498.33,497.21,497.55,36,6,0
2024-03-01 17:59:00,497.59,497.69,497.31,497.59,25,12,0
2024-03-01 18:00:00,497.71,497.84,497.52,497.83,27,10,0
2024-03-01 18:01:00,497.83,498.78,497.83,498.78,26,12,0
2024-03-01 18:02:00,498.79,499.14,498.78,498.91,30,8,0
2024-03-01 18:03:00,498.97,499.16,498.91,499.06,19,5,0
2024-03-01 18:04:00,498.98,499.21,498.98,499.2,17,9,0
2024-03-01 18:05:00,499.2,499.21,498.73,498.77,24,7,0
2024-03-01 18:06:00,498.84,499.09,498.84,499.08,13,11,0
2024-03-01 18:07:00,499.08,499.41,498.89,499.28,26,7,0
2024-03-01 18:08:00,499.28,499.47,499.28,499.38,23,8,0
2024-03-01 18:09:00,499.4,499.67,499.38,499.58,26,6,0
2024-03-01 18:10:00,499.58,499.58,499.2,499.2,29,8,0
2024-03-01 18:11:00,499.22,499.32,498.79,498.89,22,8,0
2024-03-01 18:12:00,498.89,498.95,498.53,498.8,14,9,0
2024-03-01 18:13:00,498.8,498.92,498.79,498.89,10,6,0
2024-03-01 18:14:00,498.91,499.45,498.87,499.43,26,6,0
2024-03-01 18:15:00,499.44,499.79,499.44,499.54,17,8,0
2024-03-01 18:16:00,499.54,499.84,499.49,499.81,11,9,0
2024-03-01 18:17:00,499.81,499.81,499.36,499.36,20,7,0
2024-03-01 18:18:00,499.36,499.81,499.33,499.73,21,8,0
2024-03-01 18:19:00,499.73,500.32,499.66,500.32,24,10,0
2024-03-01 18:20:00,500.33,500.57,500.3,500.5,47,6,0
2024-03-01 18:21:00,500.5,500.5,500.36,500.39,24,9,0
2024-03-01 18:22:00,500.4,500.4,499.99,499.99,20,6,0
2024-03-01 18:23:00,499.99,500.32,499.99,500.31,27,10,0
2024-03-01 18:24:00,500.32,500.35,499.45,499.76,27,10,0
2024-03-01 18:25:00,499.84,499.99,499.61,499.79,26,9,0
2024-03-01 18:26:00,499.76,499.77,499.2,499.21,15,4,0
2024-03-01 18:27:00,499.31,499.44,499.01,499.04,22,7,0
2024-03-01 18:28:00,499.01,499.23,498.94,499.15,27,8,0
2024-03-01 18:29:00,499.15,499.49,499.15,499.28,20,6,0
2024-03-01 18:30:00,499.27,499.29,499.0,499.14,27,8,0
2024-03-01 18:31:00,499.14,499.14,498.82,498.82,22,7,0
2024-03-01 18:32:00,498.82,498.83,498.51,498.54,27,10,0
2024-03-01 18:33:00,498.55,498.65,498.49,498.65,15,8,0
2024-03-01 18:34:00,498.65,498.65,498.41,498.41,11,7,0
2024-03-01 18:35:00,498.41,498.72,498.4,498.72,27,9,0
2024-03-01 18:36:00,498.72,499.07,498.72,499.0,18,8,0
2024-03-01 18:37:00,499.12,499.12,498.8,498.91,22,11,0
2024-03-01 18:38:00,498.82,498.93,498.58,498.58,13,8,0
2024-03-01 18:39:00,498.58,498.95,498.51,498.95,15,10,0
2024-03-01 18:40:00,498.95,499.62,498.95,499.62,30,5,0
2024-03-01 18:41:00,499.64,499.74,499.08,499.08,20,9,0
2024-03-01 18:42:00,498.97,499.29,498.97,499.18,22,8,0
2024-03-01 18:43:00,499.26,499.27,499.12,499.18,13,9,0
2024-03-01 18:44:00,499.13,499.29,498.95,499.18,20,7,0
2024-03-01 18:45:00,499.18,499.4,499.18,499.33,17,6,0
2024-03-01 18:46:00,499.36,499.6,499.34,499.46,17,9,0
2024-03-01 18:47:00,499.37,499.87,499.37,499.58,33,7,0
2024-03-01 18:48:00,499.64,499.74,499.52,499.66,21,8,0
2024-03-01 18:49:00,499.66,499.67,499.44,499.52,15,6,0
2024-03-01 18:50:00,499.52,499.74,499.34,499.42,25,8,0
2024-03-01 18:51:00,499.42,499.43,499.34,499.37,12,6,0
2024-03-01 18:52:00,499.36,499.61,499.36,499.59,21,6,0
2024-03-01 18:53:00,499.59,499.89,499.57,499.84,23,7,0
2024-03-01 18:54:00,499.89,499.93,499.53,499.53,14,8,0
2024-03-01 18:55:00,499.53,499.59,499.41,499.47,17,5,0
2024-03-01 18:56:00,499.48,499.63,499.38,499.49,15,9,0
2024-03-01 18:57:00,499.49,499.77,499.49,499.56,15,11,0
2024-03-01 18:58:00,499.56,499.65,499.44,499.6,15,8,0
2024-03-01 18:59:00,499.6,499.69,499.43,499.43,13,7,0
2024-03-01 19:00:00,499.42,499.42,499.25,499.25,23,8,0
2024-03-01 19:01:00,499.25,499.52,499.21,499.52,22,6,0
2024-03-01 19:02:00,499.52,499.55,499.23,499.23,13,8,0
2024-03-01 19:03:00,499.23,499.49,499.23,499.39,17,3,0
