time,open,high,low,close,tick_volume,spread,real_volume
2024-04-01 16:35:00,154.13,154.94,154.13,154.84,81,3,0
2024-04-01 16:36:00,154.82,155.2,154.82,155.03,69,3,0
2024-04-01 16:37:00,155.04,155.52,155.0,155.36,66,4,0
2024-04-01 16:38:00,155.27,155.65,155.27,155.56,66,2,0
2024-04-01 16:39:00,155.54,155.59,155.3,155.59,67,2,0
2024-04-01 16:40:00,155.59,155.8,155.51,155.52,57,3,0
2024-04-01 16:41:00,155.65,155.71,155.42,155.69,62,4,0
2024-04-01 16:42:00,155.74,156.0,155.7,155.94,67,3,0
2024-04-01 16:43:00,155.97,155.97,155.65,155.88,73,3,0
2024-04-01 16:44:00,155.82,156.1,155.81,156.09,59,3,0
2024-04-01 16:45:00,156.09,156.55,156.03,156.55,58,3,0
2024-04-01 16:46:00,156.57,156.79,156.57,156.75,78,3,0
2024-04-01 16:47:00,156.75,156.87,156.51,156.87,63,3,0
2024-04-01 16:48:00,156.89,156.89,156.59,156.71,69,4,0
2024-04-01 16:49:00,156.73,156.96,156.7,156.88,53,3,0
2024-04-01 16:50:00,156.91,156.95,156.46,156.49,63,4,0
2024-04-01 16:51:00,156.48,156.5,156.15,156.17,59,4,0
2024-04-01 16:52:00,156.17,156.49,156.05,156.13,63,3,0
2024-04-01 16:53:00,156.12,156.21,155.96,156.14,59,3,0
2024-04-01 16:54:00,156.12,156.6,156.12,156.6,49,3,0
2024-04-01 16:55:00,156.65,156.65,156.52,156.54,39,3,0
2024-04-01 16:56:00,156.53,156.53,156.3,156.4,44,4,0
2024-04-01 16:57:00,156.41,156.41,156.19,156.21,36,4,0
2024-04-01 16:58:00,156.2,156.26,156.04,156.15,46,4,0
2024-04-01 16:59:00,156.15,156.15,155.97,156.07,39,4,0
2024-04-01 17:00:00,156.07,156.54,156.05,156.4,68,4,0
2024-04-01 17:01:00,156.38,156.49,156.3,156.33,45,3,0
2024-04-01 17:02:00,156.35,156.36,156.17,156.17,41,3,0
2024-04-01 17:03:00,156.12,156.12,155.87,155.92,44,3,0
2024-04-01 17:04:00,155.91,155.91,155.72,155.74,51,4,0
2024-04-01 17:05:00,155.75,155.86,155.64,155.85,50,3,0
2024-04-01 17:06:00,155.85,156.1,155.84,156.02,42,3,0
2024-04-01 17:07:00,156.02,156.36,156.02,156.32,47,3,0
2024-04-01 17:08:00,156.33,156.44,156.25,156.41,33,4,0
2024-04-01 17:09:00,156.4,156.64,156.39,156.57,41,3,0
2024-04-01 17:10:00,156.58,156.62,156.49,156.59,48,3,0
2024-04-01 17:11:00,156.59,156.66,156.47,156.62,43,3,0
2024-04-01 17:12:00,156.63,156.63,156.4,156.4,35,3,0
2024-04-01 17:13:00,156.4,156.55,156.36,156.52,44,4,0
2024-04-01 17:14:00,156.54,156.55,156.44,156.48,37,4,0
2024-04-01 17:15:00,156.48,156.52,156.31,156.45,56,3,0
2024-04-01 17:16:00,156.46,156.54,156.42,156.44,44,2,0
2024-04-01 17:17:00,156.44,156.56,156.38,156.51,51,3,0
2024-04-01 17:18:00,156.51,156.55,156.1,156.16,55,3,0
2024-04-01 17:19:00,156.15,156.17,156.0,156.12,61,3,0
2024-04-01 17:20:00,156.12,156.34,156.06,156.32,43,3,0
2024-04-01 17:21:00,156.31,156.42,156.27,156.39,47,3,0
2024-04-01 17:22:00,156.38,156.45,156.27,156.35,43,4,0
2024-04-01 17:23:00,156.37,156.44,156.12,156.14,52,3,0
2024-04-01 17:24:00,156.15,156.43,156.14,156.43,59,3,0
2024-04-01 17:25:00,156.43,156.44,156.38,156.43,46,2,0
2024-04-01 17:26:00,156.43,156.52,156.41,156.48,46,3,0
2024-04-01 17:27:00,156.49,156.53,156.44,156.52,32,3,0
2024-04-01 17:28:00,156.53,156.6,156.49,156.55,44,2,0
2024-04-01 17:29:00,156.54,156.58,156.48,156.54,37,3,0
2024-04-01 17:30:00,156.54,156.61,156.52,156.54,41,3,0
2024-04-01 17:31:00,156.54,156.7,156.54,156.65,48,2,0
2024-04-01 17:32:00,156.65,156.65,156.4,156.44,41,2,0
2024-04-01 17:33:00,156.45,156.55,156.27,156.53,47,3,0
2024-04-01 17:34:00,156.53,156.55,156.42,156.51,42,3,0
2024-04-01 17:35:00,156.51,156.53,156.28,156.4,40,3,0
2024-04-01 17:36:00,156.4,156.41,156.31,156.32,50,2,0
2024-04-01 17:37:00,156.32,156.34,156.11,156.12,46,3,0
2024-04-01 17:38:00,156.12,156.19,156.01,156.02,50,3,0
2024-04-01 17:39:00,156.02,156.02,155.8,155.83,56,3,0
2024-04-01 17:40:00,155.83,156.04,155.82,156.04,52,3,0
2024-04-01 17:41:00,156.04,156.04,155.82,155.84,44,3,0
2024-04-01 17:42:00,155.84,155.96,155.81,155.96,35,4,0
2024-04-01 17:43:00,155.96,155.99,155.92,155.95,35,3,0
2024-04-01 17:44:00,155.95,156.09,155.95,156.05,39,2,0
2024-04-01 17:45:00,156.05,156.16,156.02,156.14,40,3,0
2024-04-01 17:46:00,156.09,156.15,156.06,156.06,40,3,0
2024-04-01 17:47:00,156.06,156.16,156.03,156.16,34,2,0
2024-04-01 17:48:00,156.16,156.18,156.08,156.18,33,2,0
2024-04-01 17:49:00,156.18,156.26,156.13,156.25,39,3,0
2024-04-01 17:50:00,156.26,156.31,156.22,156.3,33,3,0
2024-04-01 17:51:00,156.3,156.31,156.16,156.19,43,3,0
2024-04-01 17:52:00,156.19,156.28,156.14,156.22,62,3,0
2024-04-01 17:53:00,156.21,156.21,156.1,156.17,47,2,0
2024-04-01 17:54:00,156.17,156.2,156.03,156.07,50,3,0
2024-04-01 17:55:00,156.07,156.14,156.06,156.11,42,2,0
2024-04-01 17:56:00,156.12,156.15,156.08,156.12,37,2,0
2024-04-01 17:57:00,156.12,156.12,155.98,156.05,35,3,0
2024-04-01 17:58:00,156.05,156.09,155.96,155.98,42,3,0
2024-04-01 17:59:00,155.97,156.07,155.95,156.05,33,2,0
2024-04-01 18:00:00,156.05,156.05,155.94,156.02,37,3,0
2024-04-01 18:01:00,156.01,156.01,155.92,155.97,37,3,0
2024-04-01 18:02:00,155.96,155.97,155.87,155.95,39,3,0
2024-04-01 18:03:00,156.04,156.04,155.86,155.88,33,2,0
2024-04-01 18:04:00,155.89,155.89,155.75,155.75,39,2,0
2024-04-01 18:05:00,155.75,155.82,155.71,155.71,35,2,0
2024-04-01 18:06:00,155.72,155.91,155.7,155.9,46,2,0
2024-04-01 18:07:00,155.92,156.15,155.91,156.04,43,2,0
2024-04-01 18:08:00,156.03,156.03,155.82,155.86,40,3,0
2024-04-01 18:09:00,155.87,155.88,155.83,155.88,26,2,0
2024-04-01 18:10:00,155.88,155.9,155.78,155.82,45,2,0
2024-04-01 18:11:00,155.81,155.89,155.8,155.81,35,2,0
2024-04-01 18:12:00,155.83,155.95,155.81,155.91,36,2,0
2024-04-01 18:13:00,155.91,155.91,155.76,155.77,44,2,0
2024-04-01 18:14:00,155.78,155.94,155.76,155.94,35,2,0
2024-04-01 18:15:00,155.93,155.95,155.89,155.9,47,2,0
2024-04-01 18:16:00,155.9,155.92,155.74,155.88,55,2,0
2024-04-01 18:17:00,155.88,155.88,155.77,155.78,42,3,0
2024-04-01 18:18:00,155.8,155.82,155.74,155.79,41,3,0
2024-04-01 18:19:00,155.8,155.91,155.78,155.9,47,2,0
2024-04-01 18:20:00,155.91,155.91,155.76,155.79,37,2,0
2024-04-01 18:21:00,155.81,155.87,155.78,155.85,46,2,0
2024-04-01 18:22:00,155.85,155.96,155.85,155.94,40,2,0
2024-04-01 18:23:00,155.93,156.04,155.92,156.03,35,2,0
2024-04-01 18:24:00,156.02,156.05,155.98,156.03,46,2,0
2024-04-01 18:25:00,156.03,156.13,156.01,156.12,52,2,0
2024-04-01 18:26:00,156.12,156.16,156.08,156.13,40,2,0
2024-04-01 18:27:00,156.13,156.18,156.04,156.18,32,2,0
2024-04-01 18:28:00,156.18,156.2,156.15,156.15,33,2,0
2024-04-01 18:29:00,156.15,156.24,156.14,156.23,24,2,0
2024-04-01 18:30:00,156.23,156.35,156.23,156.35,45,2,0
2024-04-01 18:31:00,156.35,156.42,156.33,156.42,31,2,0
2024-04-01 18:32:00,156.43,156.54,156.42,156.49,24,2,0
2024-04-01 18:33:00,156.47,156.53,156.46,156.5,19,2,0
2024-04-01 18:34:00,156.5,156.5,156.41,156.46,30,2,0
2024-04-01 18:35:00,156.45,156.5,156.42,156.48,29,2,0
2024-04-01 18:36:00,156.49,156.5,156.45,156.45,37,2,0
2024-04-01 18:37:00,156.45,156.5,156.4,156.45,29,2,0
2024-04-01 18:38:00,156.42,156.47,156.38,156.46,31,2,0
2024-04-01 18:39:00,156.46,156.49,156.34,156.4,34,2,0
2024-04-01 18:40:00,156.4,156.48,156.39,156.47,27,2,0
2024-04-01 18:41:00,156.48,156.51,156.45,156.48,35,2,0
2024-04-01 18:42:00,156.48,156.48,156.45,156.46,32,3,0
2024-04-01 18:43:00,156.47,156.49,156.45,156.45,21,2,0
2024-04-01 18:44:00,156.45,156.5,156.45,156.48,13,2,0
2024-04-01 18:45:00,156.48,156.58,156.48,156.55,27,2,0
2024-04-01 18:46:00,156.55,156.71,156.54,156.57,29,2,0
2024-04-01 18:47:00,156.57,156.59,156.41,156.46,33,2,0
2024-04-01 18:48:00,156.46,156.49,156.39,156.4,25,2,0
2024-04-01 18:49:00,156.4,156.44,156.37,156.4,30,2,0
2024-04-01 18:50:00,156.41,156.44,156.24,156.24,37,2,0
2024-04-01 18:51:00,156.23,156.31,156.22,156.26,32,2,0
2024-04-01 18:52:00,156.26,156.26,156.09,156.13,31,3,0
2024-04-01 18:53:00,156.12,156.12,156.05,156.07,37,3,0
2024-04-01 18:54:00,156.07,156.09,155.96,155.97,39,3,0
2024-04-01 18:55:00,155.97,156.04,155.96,155.96,33,2,0
2024-04-01 18:56:00,155.96,156.02,155.95,156.02,34,2,0
2024-04-01 18:57:00,156.04,156.04,155.98,155.98,28,2,0
2024-04-01 18:58:00,155.98,155.98,155.84,155.87,32,2,0
2024-04-01 18:59:00,155.86,155.91,155.83,155.91,33,2,0
2024-04-01 19:00:00,155.9,155.96,155.88,155.93,39,2,0
2024-04-01 19:01:00,155.93,156.05,155.93,156.03,38,2,0
2024-04-01 19:02:00,156.03,156.1,156.03,156.1,28,2,0
2024-04-01 19:03:00,156.1,156.16,156.1,156.15,32,2,0
2024-04-01 19:04:00,156.16,156.27,156.14,156.27,37,2,0
2024-04-01 19:05:00,156.26,156.39,156.25,156.37,30,2,0
2024-04-01 19:06:00,156.37,156.39,156.32,156.33,21,2,0
2024-04-01 19:07:00,156.33,156.38,156.29,156.31,29,2,0
2024-04-01 19:08:00,156.31,156.38,156.28,156.36,29,3,0
2024-04-01 19:09:00,156.36,156.39,156.31,156.32,37,2,0
2024-04-01 19:10:00,156.32,156.34,156.26,156.27,23,2,0
2024-04-01 19:11:00,156.27,156.27,156.16,156.23,32,2,0
2024-04-01 19:12:00,156.24,156.28,156.14,156.14,31,2,0
2024-04-01 19:13:00,156.14,156.18,156.11,156.13,29,2,0
2024-04-01 19:14:00,156.13,156.18,156.12,156.16,25,2,0
2024-04-01 19:15:00,156.15,156.19,156.1,156.16,24,2,0
2024-04-01 19:16:00,156.16,156.17,156.1,156.17,17,2,0
2024-04-01 19:17:00,156.17,156.26,156.17,156.22,35,2,0
2024-04-01 19:18:00,156.24,156.24,156.11,156.19,32,2,0
2024-04-01 19:19:00,156.19,156.2,156.1,156.11,36,2,0
2024-04-01 19:20:00,156.11,156.13,156.02,156.13,33,2,0
2024-04-01 19:21:00,156.12,156.13,156.05,156.13,34,3,0
2024-04-01 19:22:00,156.11,156.2,156.07,156.2,29,2,0
2024-04-01 19:23:00,156.21,156.21,156.05,156.06,28,2,0
2024-04-01 19:24:00,156.06,156.08,156.0,156.08,32,2,0
2024-04-01 19:25:00,156.07,156.1,156.04,156.08,25,3,0
2024-04-01 19:26:00,156.08,156.15,156.06,156.12,29,2,0
2024-04-01 19:27:00,156.12,156.15,156.07,156.07,23,2,0
2024-04-01 19:28:00,156.08,156.09,156.0,156.02,32,2,0
2024-04-01 19:29:00,156.02,156.07,156.02,156.02,26,2,0
2024-04-01 19:30:00,156.02,156.13,156.01,156.13,33,2,0
2024-04-01 19:31:00,156.14,156.16,156.12,156.13,35,2,0
2024-04-01 19:32:00,156.14,156.14,156.09,156.1,23,2,0
2024-04-01 19:33:00,156.1,156.18,156.09,156.11,23,3,0
2024-04-01 19:34:00,156.12,156.15,156.07,156.15,21,3,0
2024-04-01 19:35:00,156.15,156.24,156.07,156.24,34,2,0
2024-04-01 19:36:00,156.24,156.24,156.15,156.15,29,3,0
2024-04-01 19:37:00,156.16,156.16,156.05,156.1,32,2,0
2024-04-01 19:38:00,156.1,156.13,156.05,156.12,44,2,0
2024-04-01 19:39:00,156.12,156.21,156.11,156.21,28,2,0
2024-04-01 19:40:00,156.21,156.23,156.2,156.21,20,2,0
2024-04-01 19:41:00,156.21,156.28,156.19,156.27,18,2,0
2024-04-01 19:42:00,156.27,156.34,156.26,156.31,24,2,0
2024-04-01 19:43:00,156.31,156.32,156.26,156.32,24,2,0
2024-04-01 19:44:00,156.32,156.34,156.27,156.33,29,2,0
2024-04-01 19:45:00,156.33,156.34,156.25,156.25,21,2,0
2024-04-01 19:46:00,156.25,156.27,156.21,156.27,31,3,0
2024-04-01 19:47:00,156.27,156.29,156.24,156.27,23,3,0
2024-04-01 19:48:00,156.28,156.29,156.13,156.13,34,2,0
2024-04-01 19:49:00,156.13,156.16,156.09,156.1,38,2,0
2024-04-01 19:50:00,156.1,156.15,156.09,156.13,18,2,0
2024-04-01 19:51:00,156.13,156.16,156.11,156.12,25,2,0
2024-04-01 19:52:00,156.13,156.13,156.06,156.09,22,3,0
2024-04-01 19:53:00,156.09,156.12,156.08,156.08,17,2,0
2024-04-01 19:54:00,156.09,156.12,156.07,156.07,11,2,0
2024-04-01 19:55:00,156.07,156.11,156.06,156.09,27,2,0
2024-04-01 19:56:00,156.09,156.09,156.04,156.07,23,2,0
2024-04-01 19:57:00,156.07,156.12,156.05,156.12,22,2,0
2024-04-01 19:58:00,156.12,156.12,156.02,156.08,19,2,0
2024-04-01 19:59:00,156.08,156.09,156.03,156.03,28,2,0
2024-04-01 20:00:00,156.03,156.07,155.99,156.06,36,2,0
2024-04-01 20:01:00,156.06,156.06,155.95,155.98,43,2,0
2024-04-01 20:02:00,155.98,156.04,155.94,156.03,37,2,0
2024-04-01 20:03:00,156.05,156.1,156.05,156.09,31,2,0
2024-04-01 20:04:00,156.09,156.1,156.05,156.08,19,3,0
2024-04-01 20:05:00,156.1,156.14,156.08,156.12,15,2,0
2024-04-01 20:06:00,156.12,156.12,156.02,156.08,24,2,0
2024-04-01 20:07:00,156.08,156.08,156.0,156.05,20,2,0
2024-04-01 20:08:00,156.04,156.06,155.99,156.02,31,2,0
2024-04-01 20:09:00,156.02,156.08,156.0,156.07,24,3,0
2024-04-01 20:10:00,156.06,156.07,155.99,156.0,27,3,0
2024-04-01 20:11:00,156.01,156.02,155.97,155.98,26,2,0
2024-04-01 20:12:00,155.99,156.0,155.96,155.99,28,2,0
2024-04-01 20:13:00,155.99,156.06,155.99,156.01,37,2,0
2024-04-01 20:14:00,156.0,156.06,156.0,156.0,31,2,0
2024-04-01 20:15:00,156.0,156.01,155.96,156.0,28,2,0
2024-04-01 20:16:00,156.0,156.02,155.97,155.99,25,2,0
2024-04-01 20:17:00,155.99,156.03,155.99,156.02,24,2,0
2024-04-01 20:18:00,156.02,156.11,155.97,156.09,33,2,0
2024-04-01 20:19:00,156.09,156.12,156.04,156.1,35,2,0
2024-04-01 20:20:00,156.14,156.2,156.07,156.2,33,2,0
2024-04-01 20:21:00,156.2,156.22,156.18,156.21,32,2,0
2024-04-01 20:22:00,156.2,156.21,156.17,156.19,33,2,0
2024-04-01 20:23:00,156.2,156.22,156.15,156.16,23,2,0
2024-04-01 20:24:00,156.15,156.16,156.06,156.08,35,2,0
2024-04-01 20:25:00,156.08,156.11,156.06,156.06,31,2,0
2024-04-01 20:26:00,156.06,156.17,156.04,156.15,30,2,0
2024-04-01 20:27:00,156.15,156.21,156.1,156.18,38,2,0
2024-04-01 20:28:00,156.19,156.23,156.15,156.19,24,3,0
2024-04-01 20:29:00,156.18,156.19,156.15,156.19,29,2,0
2024-04-01 20:30:00,156.19,156.24,156.17,156.24,20,3,0
2024-04-01 20:31:00,156.24,156.24,156.17,156.18,23,3,0
2024-04-01 20:32:00,156.17,156.18,156.06,156.09,25,2,0
2024-04-01 20:33:00,156.09,156.12,156.05,156.07,31,2,0
2024-04-01 20:34:00,156.07,156.11,156.06,156.09,38,2,0
2024-04-01 20:35:00,156.1,156.1,156.05,156.06,32,2,0
2024-04-01 20:36:00,156.06,156.09,156.05,156.09,22,2,0
2024-04-01 20:37:00,156.09,156.14,156.03,156.07,32,2,0
2024-04-01 20:38:00,156.07,156.1,156.0,156.0,35,2,0
2024-04-01 20:39:00,156.0,156.02,155.89,155.95,46,2,0
2024-04-01 20:40:00,155.95,156.07,155.95,156.01,40,2,0
2024-04-01 20:41:00,156.01,156.03,155.95,155.96,39,2,0
2024-04-01 20:42:00,155.98,155.99,155.91,155.91,31,2,0
2024-04-01 20:43:00,155.9,155.95,155.89,155.92,32,2,0
2024-04-01 20:44:00,155.95,156.0,155.95,155.99,31,2,0
2024-04-01 20:45:00,155.99,156.01,155.92,155.93,21,2,0
2024-04-01 20:46:00,155.92,155.98,155.92,155.98,30,2,0
2024-04-01 20:47:00,155.98,155.99,155.96,155.97,25,2,0
2024-04-01 20:48:00,155.96,155.96,155.9,155.93,30,2,0
2024-04-01 20:49:00,155.92,155.94,155.84,155.87,35,2,0
2024-04-01 20:50:00,155.87,155.96,155.87,155.94,24,2,0
2024-04-01 20:51:00,155.94,155.96,155.9,155.96,32,2,0
2024-04-01 20:52:00,155.96,155.97,155.84,155.84,37,2,0
2024-04-01 20:53:00,155.84,155.94,155.83,155.93,43,2,0
2024-04-01 20:54:00,155.93,155.97,155.92,155.94,20,2,0
2024-04-01 20:55:00,155.94,155.98,155.94,155.95,24,2,0
2024-04-01 20:56:00,155.95,156.04,155.95,156.03,25,2,0
2024-04-01 20:57:00,156.03,156.08,156.03,156.05,24,2,0
2024-04-01 20:58:00,156.05,156.07,155.99,156.0,25,2,0
2024-04-01 20:59:00,156.01,156.08,155.99,156.06,25,2,0
2024-04-01 21:00:00,156.06,156.09,156.04,156.05,14,2,0
2024-04-01 21:01:00,156.05,156.09,156.03,156.04,23,2,0
2024-04-01 21:02:00,156.04,156.08,156.02,156.08,15,2,0
2024-04-01 21:03:00,156.09,156.11,156.04,156.1,22,2,0
